renglon,año,ent,id_ent,cvegeo,pob,pobh,pobm,nac,defs,emigintnal,inmigintnal,emigest,inmigest,crecnat,crecsoct,crect,e0h,e0m,e0,mnest,mnintnal,tmih,tmim,tmi,tbm,tbn,tcn,tcs,tc,temigest,tinmigest,tmnetest,tmnetintnal,tgf
1,1990,Aguascalientes,1,1,824227,410078,414149,26101,3627,6997,434,6957,10318,22474,-3202,19272,69.70148111,75.37192131,72.4675495,3361,-6563,31.96804308,26.01036233,29.06185735,4.400486759,31.66724701,2.726676025,-0.388485211,2.338190814,0.844063589,1.251839602,0.407776013,-0.796261224,3.858969931
2,1991,Aguascalientes,1,1,844162,419539,424623,26427,3650,7257,465,7036,10438,22777,-3390,19387,70.06150767,75.68263356,72.8035203,3402,-6792,30.24129057,24.60541369,27.49208234,4.323814623,31.30560248,2.698178786,-0.401581687,2.296597099,0.833489307,1.236492522,0.403003215,-0.804584902,3.758964853
3,1992,Aguascalientes,1,1,863697,428824,434873,26682,3693,7619,526,7111,10524,22989,-3680,19309,70.38988779,75.944436,73.0994235,3413,-7093,28.61256318,23.28022186,26.01142107,4.275805057,30.89277837,2.661697331,-0.426075348,2.235621983,0.823321142,1.218482871,0.395161729,-0.821237077,3.66580318
4,1993,Aguascalientes,1,1,882995,437956,445039,26893,3743,8004,594,7175,10601,23150,-3984,19166,70.68845173,76.16542547,73.36014624,3426,-7410,27.07983385,22.03313754,24.61803077,4.238982101,30.4565711,2.6217589,-0.451191683,2.170567217,0.812575383,1.20057305,0.387997667,-0.83918935,3.576983398
5,1994,Aguascalientes,1,1,902128,446910,455218,27034,3790,8421,697,7229,10668,23244,-4285,18959,70.95907118,76.3524666,73.58999577,3439,-7724,25.64057055,20.86210058,23.30960959,4.20117766,29.96692265,2.576574499,-0.474988028,2.101586471,0.801327528,1.18253729,0.381209762,-0.85619779,3.487992569
6,1995,Aguascalientes,1,1,921048,455624,465424,27147,3851,8881,787,7276,10712,23296,-4658,18638,71.20359579,76.51142578,73.79278115,3436,-8094,24.29182462,19.76471185,22.08347693,4.181106739,29.47403393,2.529292719,-0.505728257,2.023564461,0.789969687,1.163022991,0.373053304,-0.878781562,3.40376337
7,1996,Aguascalientes,1,1,939507,463900,475607,27211,3921,9396,867,7304,10735,23290,-5098,18192,71.42380854,76.64740486,73.9719043,3431,-8529,23.03031446,18.73830131,20.93664951,4.173465445,28.96306254,2.47895971,-0.542625015,1.936334695,0.777429013,1.142620545,0.365191531,-0.907816546,3.323200548
8,1997,Aguascalientes,1,1,957443,471734,485709,27234,3994,9866,968,7321,10742,23240,-5477,17763,71.62139571,76.76494721,74.13044522,3421,-8898,21.85250329,17.77999131,19.86591208,4.171527705,28.44451315,2.427298544,-0.572044498,1.855254046,0.764640819,1.121946685,0.357305866,-0.929350363,3.247091248
9,1998,Aguascalientes,1,1,974940,479142,495798,27222,4075,10263,1103,7335,10721,23147,-5774,17373,71.79792815,76.86820526,74.27123406,3386,-9160,20.75467023,16.88675441,18.86788203,4.179744395,27.92171826,2.374197387,-0.592241574,1.781955813,0.752353991,1.099657415,0.347303424,-0.939544998,3.173721441
10,1999,Aguascalientes,1,1,991858,486186,505672,27205,4160,10617,1261,7325,10686,23045,-5995,17050,71.9548508,76.96106578,74.39690689,3361,-9356,19.73297394,16.05546516,17.93906722,4.194148759,27.42832139,2.323417263,-0.604421197,1.718996066,0.738512973,1.077371963,0.33885899,-0.943280187,3.10877258
11,2000,Aguascalientes,1,1,1008447,493483,514964,27206,4249,10530,1442,7392,10639,22957,-5841,17116,72.09347822,77.04723237,74.50994366,3247,-9088,18.7835089,15.28294588,17.07591718,4.213409331,26.97811586,2.276470652,-0.579207435,1.697263218,0.733008279,1.054988512,0.321980233,-0.901187668,3.0557912
12,2001,Aguascalientes,1,1,1025563,501308,524255,27226,4339,9952,1600,7526,10579,22887,-5299,17588,72.21499426,77.13026534,74.61268747,3053,-8352,17.90235414,14.56600632,16.2748674,4.230846862,26.54736959,2.231652273,-0.516691807,1.714960466,0.733840827,1.031530974,0.297690147,-0.814381954,3.009442005
13,2002,Aguascalientes,1,1,1043783,509490,534293,27292,4446,9423,1765,7657,10516,22846,-4799,18047,72.32045451,77.21357957,74.70734478,2859,-7658,17.08561485,13.90147754,15.53237714,4.259506047,26.14719726,2.188769122,-0.459769895,1.728999227,0.733581597,1.007489105,0.273907508,-0.733677402,2.966539387
14,2003,Aguascalientes,1,1,1062250,517735,544515,27339,4550,9505,1949,7783,10434,22789,-4905,17884,72.4208609,77.29653615,74.79923907,2651,-7556,16.32945724,13.28624021,14.84496113,4.283360791,25.73687927,2.145351847,-0.461755707,1.68359614,0.732690045,0.982254648,0.249564603,-0.711320311,2.923048609
15,2004,Aguascalientes,1,1,1079814,525688,554126,27306,4670,9662,2130,7915,10361,22636,-5086,17550,72.51694955,77.37574608,74.8870942,2446,-7532,15.63013702,12.71724785,14.20921547,4.324818904,25.28768844,2.096286953,-0.471007044,1.625279909,0.732996609,0.959517102,0.226520493,-0.697527537,2.879080784
16,2005,Aguascalientes,1,1,1096736,533423,563313,27086,4773,9245,2322,8031,10284,22313,-4670,17643,72.6089811,77.45143696,74.97115469,2253,-6923,14.98402225,12.19154538,13.62183841,4.352004493,24.69691886,2.034491436,-0.425808946,1.608682491,0.732263735,0.937691477,0.205427742,-0.631236688,2.818479607
17,2006,Aguascalientes,1,1,1114099,541404,572695,26799,4895,8085,2516,8137,10218,21904,-3488,18416,72.69720735,77.52382861,75.05165675,2081,-5569,14.38761107,11.70628355,13.07964643,4.393684942,24.05441527,1.966073033,-0.313078102,1.652994931,0.730365973,0.917153682,0.186787709,-0.499865811,2.748802823
18,2007,Aguascalientes,1,1,1133032,550419,582613,26690,5020,6692,2729,8249,10144,21670,-2068,19602,72.78187032,77.59313219,75.12882733,1895,-3963,13.83754483,11.25872966,12.57958621,4.43058978,23.55626319,1.912567341,-0.182519117,1.730048225,0.728046516,0.895296867,0.167250351,-0.349769468,2.695032092
19,2008,Aguascalientes,1,1,1154011,560885,593126,26683,5215,5548,2937,8383,10082,21468,-912,20556,72.63527277,77.60263977,75.05837862,1699,-2611,13.3306174,10.84627506,12.11874309,4.519021049,23.12196331,1.860294226,-0.079028709,1.781265517,0.726422885,0.873648518,0.147225633,-0.226254342,2.649256934
20,2009,Aguascalientes,1,1,1175942,572309,603633,26648,5365.397164,5588,3160,8498,9997,21282.60284,-929,20353.60284,72.66280031,77.65041154,75.09578139,1499,-2428,12.86378098,10.46643998,11.69434634,4.562637582,22.66098158,1.8098344,-0.079000495,1.730833905,0.722654689,0.850126962,0.127472273,-0.206472768,2.602409059
21,2010,Aguascalientes,1,1,1195787.003,582354.5025,613432.5008,26442.5567,5503,5349.945312,2764.638491,8606.563497,10001.827,20939.5567,-1190.043321,19749.51337,72.82147682,77.67311708,75.18813061,1395.2635,-2585.30682,12.43414915,10.1168759,11.30377196,4.601990141,22.11309926,1.751110912,-0.099519673,1.651591238,0.719740512,0.836422119,0.116681608,-0.216201281,2.550988162
22,2011,Aguascalientes,1,1,1215094.257,592324.5107,622769.7466,26438.47722,5634,5433.83871,2418.244332,8679.507944,10066.81549,20804.47722,-1628.286831,19176.19039,72.94580887,77.78195336,75.30490374,1387.307547,-3015.594378,12.03899748,9.795366133,10.94454317,4.636677333,21.75837558,1.712169825,-0.134004981,1.578164844,0.714307379,0.828480213,0.114172834,-0.248177815,2.513955316
23,2012,Aguascalientes,1,1,1233920.791,601671.3478,632249.4432,26438.28144,5770,5514.375984,2119.160391,8751.137608,10128.33358,20668.28144,-2018.019618,18650.26182,73.06939604,77.89000835,75.42091424,1377.195974,-3395.215592,11.67576216,9.499824663,10.61432923,4.676151048,21.42623873,1.675008768,-0.163545313,1.511463455,0.709213887,0.820825263,0.111611376,-0.275156689,2.479280727
24,2013,Aguascalientes,1,1,1252265.138,610680.1463,641584.9913,26438.40326,5894,5591.639451,1860.534227,8821.008367,10186.86183,20544.40326,-2365.251761,18179.1515,73.23146333,78.02023542,75.56744972,1365.853463,-3731.105224,11.34203708,9.228293805,10.3109428,4.706670994,21.1124645,1.64057935,-0.188877873,1.451701477,0.704404211,0.81347484,0.109070629,-0.297948502,2.446869656
25,2014,Aguascalientes,1,1,1270174.174,619391.5426,650782.631,26435.37847,6022,5665.637011,1636.571253,8889.351229,10242.54066,20413.37847,-2675.876326,17737.50214,73.39149813,78.14824401,75.71186197,1353.189432,-4029.065758,11.03556969,8.978940797,10.03233609,4.74108207,20.81240433,1.607132226,-0.210670031,1.396462195,0.699852935,0.806388673,0.106535738,-0.317205769,2.416622701
26,2015,Aguascalientes,1,1,1287660.393,627823.6125,659836.7806,26428.53337,6153,5736.295933,1442.325503,8957.572913,10296.42545,20275.53337,-2955.117891,17320.41548,73.5496101,78.27418079,75.85427873,1338.852539,-4293.970429,10.75425585,8.750053622,9.776596226,4.778433843,20.52445933,1.574602549,-0.22949513,1.345107419,0.695647157,0.79962275,0.103975594,-0.333470724,2.388437414
27,2016,Aguascalientes,1,1,1304743.717,635997.9231,668745.7938,26419.62083,6290,5803.554122,1273.586313,9023.593056,10347.00907,20129.62083,-3206.551794,16923.06904,73.70590136,78.3981834,75.99481943,1323.416015,-4529.967809,10.49613395,8.540036256,9.541939951,4.82087012,20.24889676,1.542802664,-0.245761045,1.297041619,0.691598889,0.793029998,0.101431108,-0.347192154,2.362209736
28,2017,Aguascalientes,1,1,1321452.933,643939.6828,677513.2501,26408.53714,6430,5867.288942,1126.766013,9087.287532,10394.30308,19978.53714,-3433.507383,16545.02976,73.86046682,78.52038085,76.13359561,1307.015546,-4740.522929,10.25937861,8.347403505,9.326707827,4.865856241,19.98447049,1.511861425,-0.259828201,1.252033224,0.687673946,0.786581407,0.098907461,-0.358735662,2.337835234
29,2018,Aguascalientes,1,1,1337792.494,651656.8136,686135.6807,26392.59568,6586,5927.341342,998.8105652,9148.430581,10438.1511,19806.59568,-3638.810261,16167.78542,73.97949961,78.62363098,76.24492955,1289.720515,-4928.530776,10.04229401,8.170775583,9.129358194,4.923035544,19.72846745,1.480543191,-0.272001097,1.208542094,0.683845262,0.780251881,0.096406619,-0.368407716,2.31521017
30,2019,Aguascalientes,1,1,1353758.401,659151.5978,694606.8036,26367.73099,6747,5983.561702,887.101312,9206.685664,10478.54292,19620.73099,-3824.60313,15796.12786,74.09839614,78.72660274,76.3560579,1271.85726,-5096.46039,9.843307034,8.008872541,8.94846094,4.983902588,19.47742741,1.449352482,-0.282517407,1.166835075,0.680083363,0.774033455,0.093950092,-0.376467499,2.294232395
31,2020,Aguascalientes,1,1,1369305.983,666397.5211,702908.4621,26330.29444,6912,6035.893982,789.4075947,9261.661324,10515.52093,19418.29444,-3992.626786,15425.66766,74.21721609,78.82934325,76.46703421,1253.859602,-5246.486388,9.660960354,7.860508652,8.782691231,5.047812603,19.22893405,1.418112145,-0.291580321,1.126531823,0.676376313,0.767945299,0.091568986,-0.383149307,2.274802078
32,2021,Aguascalientes,1,1,1384533.6,673471.0311,711062.5692,26280.02678,7082,6084.366182,789.3980214,9313.003129,10549.18765,19198.02678,-4058.783641,15139.24314,74.33601222,78.93189399,76.57790576,1236.184519,-5294.96816,9.493905595,7.724586825,8.630823268,5.115079907,18.98114049,1.386606058,-0.29315169,1.093454369,0.672645512,0.761930779,0.089285267,-0.382436956,2.2568223
33,2022,Aguascalientes,1,1,1399529.211,680438.5223,719090.6884,26220.37459,7256,6129.543438,789.3884724,9361.180611,10580.39707,18964.37459,-4120.938508,14843.43609,74.45483088,79.03429119,76.68871396,1219.216457,-5340.154965,9.340896572,7.60009312,8.491724156,5.18460061,18.73513921,1.35505386,-0.294451768,1.060602092,0.668880688,0.755996873,0.087116185,-0.381567953,2.240199518
34,2023,Aguascalientes,1,1,1414224.571,687252.3791,726972.192,26154.23767,7436,6171.428293,789.3789512,9406.039507,10609.18362,18718.23767,-4178.905234,14539.33243,74.57371245,79.13656623,76.79949478,1203.144108,-5382.049342,9.200782719,7.486091394,8.364347927,5.258005095,18.49369485,1.323568975,-0.295490923,1.028078053,0.665102255,0.750176728,0.085074474,-0.380565396,2.224843905
35,2024,Aguascalientes,1,1,1428616.754,693912.2524,734704.5019,26081.09828,7622,6210.052317,789.3694612,9447.471995,10635.54253,18459.09828,-4232.61232,14226.48596,74.6926918,79.23874604,76.91027923,1188.070535,-5420.682856,9.072502739,7.381718138,8.247729763,5.335230724,18.25618956,1.292095884,-0.296273462,0.995822422,0.661302058,0.744464357,0.083162299,-0.379435761,2.2106696
36,2025,Aguascalientes,1,1,1442693.28,700412.9042,742280.3762,25995.80664,7812,6245.455721,789.3600057,9485.258176,10659.41934,18183.80664,-4281.934555,13901.87208,74.81179865,79.34085346,77.02109368,1174.16116,-5456.095715,8.955078501,7.286177508,8.140980456,5.414872382,18.01894206,1.260406968,-0.296801449,0.96360552,0.657468798,0.738855548,0.081386749,-0.378188198,2.197594866
37,2026,Aguascalientes,1,1,1456433.284,706744.6004,749688.6838,25897.69906,8008,6277.785846,789.3505879,9519.220081,10680.81071,17889.69906,-4326.844627,13562.85443,74.93105803,79.44290763,77.13196028,1161.590632,-5488.435258,8.847609218,7.198736591,8.043281107,5.498363768,17.78158968,1.228322591,-0.297084987,0.931237605,0.653598087,0.733353929,0.079755842,-0.376840829,2.185542179
38,2027,Aguascalientes,1,1,1469823.734,712901.69,756922.0442,25792.3338,8210,6307.207858,789.341211,9549.416807,10699.83469,17582.3338,-4367.448764,13214.88503,75.05049065,79.54492426,77.24289729,1150.417883,-5517.866647,8.749265907,7.118720897,7.953878098,5.585703788,17.54790945,1.196220566,-0.297140988,0.899079579,0.649698095,0.7279672,0.078269105,-0.375410093,2.174438245
39,2028,Aguascalientes,1,1,1482860.646,718883.1246,763977.5214,25683.16978,8417,6333.952504,789.3318779,9576.031095,10716.61538,17266.16978,-4404.036337,12862.13344,75.17011321,79.64691599,77.35391944,1140.584289,-5544.620626,8.65928616,7.045510103,7.872078327,5.676190829,17.32001577,1.164382494,-0.296995968,0.867386526,0.645780918,0.722698752,0.076917834,-0.373913802,2.164213983
40,2029,Aguascalientes,1,1,1495542.492,724689.2255,770853.2663,25572.18248,8629,6358.257487,789.3225918,9599.316687,10731.27231,16943.18248,-4436.979275,12506.20321,75.28993877,79.74889266,77.46503823,1131.95562,-5568.934895,8.576969196,6.978534028,7.797244724,5.769812658,17.09893408,1.132912142,-0.296680255,0.836231888,0.641861849,0.717550479,0.07568863,-0.372368885,2.154804448
41,2030,Aguascalientes,1,1,1507807.317,730289.6626,777517.6544,25458.2632,8847,6380.275211,789.3133553,9619.516454,10743.90238,16611.2632,-4466.575934,12144.68727,75.40997705,79.85086159,77.57626219,1124.385921,-5590.961856,8.501671228,6.917268863,7.728792025,5.867460584,16.88429478,1.101683419,-0.296229889,0.805453531,0.637980486,0.712551415,0.074570929,-0.370800817,2.146148737
42,1990,Baja California,2,2,1732550,898238,834312,45300,9108,7450,5481,12677,57559,36192,42913,79105,63.55903171,73.64235516,68.47772608,44882,-1969,29.70655268,24.1703315,27.00595698,5.25699114,26.14643156,2.088944042,2.476869354,4.565813396,0.731696055,3.322212923,2.590516868,-0.113647514,3.007058113
43,1991,Baja California,2,2,1815903,939791,876112,46737,9248,7726,5567,13406,57872,37489,42307,79796,64.48952117,73.79346305,69.0280294,44466,-2159,28.79409689,23.42792428,26.17645171,5.09278304,25.73760823,2.064482519,2.329805061,4.39428758,0.738255292,3.186954369,2.448699077,-0.118894016,2.919343802
44,1992,Baja California,2,2,1895648,979132,916516,48022,9376,8103,5846,14136,58181,38646,41788,80434,65.3491876,73.96688662,69.55294322,44045,-2257,27.91223986,22.71041334,25.37476351,4.946065936,25.3327622,2.038669626,2.204417698,4.243087324,0.745708064,3.069187951,2.323479887,-0.119062189,2.842019208
45,1993,Baja California,2,2,1976271,1018688,957583,49425,9530,8516,6323,14884,58478,39895,41401,81296,66.1171791,74.15868111,70.03986301,43594,-2193,27.06055493,22.01745151,24.60050448,4.822213148,25.00922191,2.018700877,2.094905,4.113605877,0.753135577,2.95900714,2.205871563,-0.110966563,2.780720689
46,1994,Baja California,2,2,2058198,1058845,999353,50790,9714,8957,6982,15652,58749,41076,41122,82198,66.7862184,74.36478256,70.48307897,43097,-1975,26.23856853,21.34865348,23.85324412,4.71966254,24.67692613,1.995726359,1.997961323,3.993687682,0.760471053,2.854390102,2.09391905,-0.095957726,2.725725368
47,1995,Baja California,2,2,2141231,1099436,1041795,51951,9917,9443,7474,16420,58985,42034,40596,82630,67.35844775,74.58107303,70.88167959,42565,-1969,25.44576517,20.70359984,23.13251379,4.631447985,24.26221178,1.96307638,1.89591875,3.858995129,0.766848603,2.754723801,1.987875199,-0.091956449,2.667348329
48,1996,Baja California,2,2,2224286,1139608,1084678,52675,10140,9979,7804,17192,59191,42535,39824,82359,67.84146404,74.80346254,71.23756087,41999,-2175,24.68159231,20.08184101,22.43781119,4.558766274,23.68175675,1.912299048,1.79041724,3.702716287,0.772922187,2.661123614,1.888201427,-0.097784188,2.595255834
49,1997,Baja California,2,2,2306424,1179018,1127406,52973,10504,10493,8313,17954,59356,42469,39222,81691,68.24537922,75.02798167,71.55396578,41402,-2180,23.94546497,19.48290104,21.76860452,4.554236342,22.96758965,1.841335331,1.700554625,3.541889956,0.778434494,2.573507733,1.795073239,-0.094518614,2.51205882
50,1998,Baja California,2,2,2387650,1217828,1169822,53014,10767,10904,8979,18703,59487,42247,38859,81106,68.58097239,75.25087526,71.83458354,40784,-1925,23.23677025,18.90628125,21.12433659,4.509454903,22.20342177,1.769396687,1.627499843,3.39689653,0.783322514,2.491445564,1.70812305,-0.080623207,2.426342306
51,1999,Baja California,2,2,2469220,1256979,1212241,53018,11047,11297,9793,19447,59590,41971,38639,80610,68.8586931,75.46868716,72.08308044,40143,-1504,22.55487154,18.35146366,20.50442867,4.473882441,21.47155782,1.699767538,1.564826139,3.264593677,0.787576644,2.413312706,1.625736062,-0.060909923,2.347002239
52,2000,Baja California,2,2,2549842,1296351,1253491,53077,11364,11788,10577,20414,58587,41713,36962,78675,69.0882296,75.67832666,72.30291109,38173,-1211,21.89911256,17.81791431,19.90828414,4.456746732,20.81579957,1.635905284,1.449580013,3.085485297,0.800598625,2.297671777,1.497073152,-0.047493139,2.28064686
53,2001,Baja California,2,2,2627368,1334366,1293002,53186,11699,11137,11258,21633,56448,41487,34936,76423,69.27840977,75.8771095,72.49728769,34815,121,21.26882115,17.3050863,19.33529196,4.452745105,20.24307215,1.579032705,1.329695726,2.908728431,0.823371526,2.148461883,1.325090357,0.004605369,2.226212857
54,2002,Baja California,2,2,2702832,1370995,1331837,53506,12062,10562,11894,22855,54342,41444,32819,74263,69.43727406,76.06276972,72.66922316,31487,1332,20.66331285,16.81242273,18.78482987,4.462726503,19.79627295,1.533354644,1.214244911,2.747599555,0.845594547,2.010557815,1.164963268,0.049281642,2.184993086
55,2003,Baja California,2,2,2775926,1406328,1369598,54028,12447,10650,12511,24088,52233,41581,30006,71587,69.57221935,76.23344163,72.82159607,28145,1861,20.08189416,16.33935934,18.25626742,4.483909153,19.46305485,1.49791457,1.080936596,2.578851165,0.867746475,1.881642378,1.013895904,0.067040692,2.15667824
56,2004,Baja California,2,2,2845936,1440273,1405663,54691,12862,10818,13105,25331,50133,41829,27089,68918,69.69015387,76.38761426,72.95720772,24802,2287,19.52386565,15.88532705,17.74896877,4.519427,19.21722765,1.469780065,0.951848531,2.421628596,0.890076235,1.761564561,0.871488326,0.080360205,2.140218027
57,2005,Baja California,2,2,2912674,1472558,1440116,55377,13285,10862,13652,26580,48078,42092,24288,66380,69.79976026,76.52406207,73.07990748,21498,2790,18.98852476,15.44975424,17.26229524,4.561100899,19.01242638,1.445132548,0.833872929,2.279005477,0.912563507,1.650648167,0.73808466,0.095788269,2.128681909
58,2006,Baja California,2,2,2977440,1503752,1473688,55755,13743,9483,14178,27830,46081,42012,22946,64958,69.90737958,76.5872047,73.16583086,18251,4695,18.47516844,15.03206887,16.79560768,4.61571014,18.72581815,1.411010801,0.770662045,2.181672846,0.934695577,1.547671825,0.612976248,0.157685797,2.106959131
59,2007,Baja California,2,2,3041783,1535038,1506745,56042,14202,7852,14662,29101,44135,41840,21844,63684,70.01306108,76.64878001,73.24999714,15034,6810,17.98309548,14.63170041,16.34826861,4.668972113,18.42406247,1.375509035,0.718131438,2.093640473,0.956708615,1.450958204,0.49424959,0.223881848,2.083161792
60,2008,Baja California,2,2,3105709,1566525,1539184,56568,14958,6499,15117,30375,42234,41610,20477,62087,69.71466315,76.68257478,73.11364443,11859,8618,17.51160864,14.24808157,15.91964422,4.816291546,18.21419843,1.339790689,0.659334149,1.999124838,0.978037543,1.359882719,0.381845176,0.277488973,2.068937943
61,2009,Baja California,2,2,3168319,1597637,1570682,56968,15676,6547,15540,31632,40335,41292,17696,58988,69.47668685,76.75641975,73.02777607,8703,8993,17.06001663,13.8806499,15.50910603,4.947734114,17.98051269,1.303277858,0.558529618,1.861807476,0.998384317,1.273072566,0.27468825,0.283841368,2.051717512
62,2010,Baja California,2,2,3224843.558,1625839.565,1599003.993,56386.37642,16191,6296.026673,14538.89178,32496.61439,38889.67185,40195.37642,14635.92256,54831.29898,69.49787366,76.82453866,73.07185659,6393.057454,8242.865105,16.62763582,13.52884914,15.11603256,5.020708666,17.48499591,1.246428724,0.453849072,1.700277796,1.00769584,1.205939797,0.198243956,0.255605116,2.005180448
63,2011,Baja California,2,2,3275398.746,1649980.105,1625418.641,56963.85401,16633,6378.856695,13577.6087,32862.59274,39207.36127,40330.85401,13543.52054,53874.37455,69.65288473,76.94099551,73.20806072,6344.768532,7198.752008,16.21379175,13.19213056,14.73981068,5.078160336,17.39142572,1.231326538,0.413492267,1.644818806,1.003315788,1.197025593,0.193709805,0.219782462,1.998831261
64,2012,Baja California,2,2,3328622.816,1675554.746,1653068.07,57564.35944,17084,6459.784196,12685.00802,33224.75252,39510.52945,40480.35944,12511.00076,52991.3602,69.80860426,77.05759736,73.34469845,6285.776933,6225.223823,15.81782052,12.86995397,14.37983684,5.132452953,17.29374658,1.216129363,0.375861173,1.591990536,0.998153121,1.186993289,0.188840168,0.187021004,1.994060379
65,2013,Baja California,2,2,3381079.671,1700592.542,1680487.129,58170.26117,17428,6538.576207,11855.76471,33583.555,39801.82064,40742.26117,11535.45415,52277.71532,70.13765664,77.1743245,73.57017755,6218.265643,5317.188507,15.43906995,12.56178873,14.03551814,5.154566499,17.20464078,1.205007428,0.341176644,1.546184072,0.993279019,1.177192628,0.183913609,0.157263035,1.990485536
66,2014,Baja California,2,2,3432944.382,1725265.262,1707679.12,58770.24498,17787,6614.984705,11085.40697,33941.78566,40082.05327,40983.24498,10610.68987,51593.93485,70.45686485,77.29115752,73.79066615,6140.26761,4470.422265,15.07690059,12.26711457,13.70627327,5.181266581,17.11948649,1.193821991,0.309084235,1.502906226,0.988707706,1.167570715,0.178863009,0.130221226,1.987812536
67,2015,Baja California,2,2,3484150.187,1749517.19,1734632.997,59349.63708,18160,6688.562617,10369.57452,34309.01113,40354.01224,41189.63708,9726.013009,50915.65009,70.76657525,77.40807738,74.00633238,6045.00111,3681.011899,14.73068662,11.9854223,13.39153329,5.212174857,17.03417875,1.18220039,0.279150223,1.461350612,0.984716769,1.158216784,0.173500015,0.105650207,1.985817017
68,2016,Baja California,2,2,3534688.208,1773357.29,1761330.918,59895.93398,18549,6758.961841,9704.244522,34671.50283,40612.10034,41346.93398,8885.880193,50232.81418,71.06712936,77.52506537,74.21734205,5940.597511,2945.282682,14.39981655,11.71621437,13.09074232,5.247704722,16.94518171,1.169747699,0.251390778,1.421138477,0.98089282,1.148958492,0.168065673,0.083325106,1.984329025
69,2017,Baja California,2,2,3584604.897,1796847.591,1787757.306,60400.33939,18953,6825.861666,9085.704652,35027.89319,40855.66764,41447.33939,8087.617437,49534.95683,71.35886334,77.64210314,74.42385837,5827.774452,2259.842985,14.08369383,11.45900543,12.80335802,5.287333066,16.84992938,1.156259632,0.225620889,1.381880521,0.977175845,1.13975372,0.162577875,0.063043015,1.983220452
70,2018,Baja California,2,2,3633772.198,1819881.652,1813890.547,60856.77434,19463,6888.877032,8510.638985,35376.15853,41083.62701,41393.77434,7329.230437,48723.00477,71.50913487,77.75917273,74.55793383,5707.468484,1621.761953,13.78173733,11.21332264,12.52885212,5.35614203,16.74754801,1.139140598,0.201697576,1.340838173,0.973538147,1.130605464,0.157067317,0.044630259,1.982395092
71,2019,Baja California,2,2,3682063.401,1842355.398,1839708.004,61262.05933,19983,6947.752634,7975.7513,35714.10053,41295.17324,41279.05933,6609.071376,47888.13071,71.65975877,77.87625652,74.6921967,5581.07271,1027.998666,13.49338173,10.97870604,12.26671066,5.42712002,16.63796971,1.121084969,0.179493688,1.300578656,0.969948006,1.121522601,0.151574596,0.027919092,1.98178089
72,2020,Baja California,2,2,3729225.476,1864138.429,1865087.046,61612.27287,20515,7002.479777,7478.123673,36039.9725,41490.28723,41097.27287,5925.95862,47023.23149,71.81071038,77.99333729,74.82662594,5450.314724,475.6438955,13.21807776,10.75470872,12.01643433,5.501142297,16.52146626,1.102032396,0.158905882,1.260938278,0.966419776,1.112571163,0.146151386,0.012754495,1.981323991
73,2021,Baja California,2,2,3775765.148,1885580.518,1890184.63,61907.3054,21059,7053.225513,7477.986798,36352.20302,41669.31038,40848.3054,5741.868651,46590.17405,71.96196534,78.1103982,74.96120088,5317.107366,424.7612844,12.95529242,10.54089702,11.77753856,5.57741257,16.39596293,1.081855036,0.152071658,1.233926693,0.962777122,1.103599105,0.140821983,0.011249674,1.980984199
74,2022,Baja California,2,2,3822151.457,1907002.275,1915149.182,62150.43081,21617,7101.069159,7477.851014,36655.81013,41835.4278,40533.43081,5556.399534,46089.83035,72.1134996,78.22742279,75.09590116,5179.617678,376.7818553,12.70450906,10.33685056,11.54955369,5.655715176,16.26058818,1.060487301,0.145373609,1.20586091,0.959036044,1.094551806,0.135515762,0.009857847,1.980731549
75,2023,Baja California,2,2,3868001.262,1928160.27,1939840.991,62345.806,22189,7146.157735,7477.716357,36948.99018,41988.91128,40156.806,5371.479721,45528.28572,72.2652894,78.34439502,75.23070678,5039.921099,331.5586219,12.46522743,10.14216231,11.33202493,5.736554489,16.11835203,1.038179754,0.138869648,1.177049402,0.955247625,1.085545439,0.130297814,0.008571833,1.980543721
76,2024,Baja California,2,2,3913265.613,1949030.229,1964235.384,62497.17129,22775,7188.668774,7477.582861,37230.324,42129.93964,39722.17129,5188.529734,44910.70102,72.41731126,78.46129921,75.36559807,4899.615647,288.9140873,12.23696359,9.956438558,11.12451236,5.819947393,15.97059272,1.015064532,0.132588233,1.147652765,0.951387605,1.076592897,0.125205292,0.007382941,1.9804041
77,2025,Baja California,2,2,3957877.911,1969579.091,1988298.82,62591.97055,23376,7228.782966,7477.450556,37498.5914,42258.56101,39215.97055,5008.6372,44224.60775,72.56954195,78.57812009,75.50055568,4759.96961,248.6675898,12.01924991,9.779298788,10.92659083,5.906195321,15.81452788,0.990833255,0.126548552,1.117381808,0.947441842,1.067707543,0.120265701,0.006282851,1.980300321
78,2026,Baja California,2,2,4001752.367,1989764.105,2011988.262,62640.12719,23992,7266.873884,7477.319468,37753.12932,42374.98141,38648.12719,4832.297674,43480.42487,72.7219585,78.69484278,75.63556059,4621.85209,210.4455841,11.81163483,9.610375613,10.73784985,5.995373476,15.65317427,0.96578008,0.12075454,1.08653462,0.943414931,1.058910635,0.115495705,0.005258836,1.980223189
