renglon,año,ent,id_ent,cvegeo,pob,pobh,pobm,nac,defs,emigintnal,inmigintnal,emigest,inmigest,crecnat,crecsoct,crect,e0h,e0m,e0,mnest,mnintnal,tmih,tmim,tmi,tbm,tbn,tcn,tcs,tc,temigest,tinmigest,tmnetest,tmnetintnal,tgf
800,2010,Oaxaca,20,20,3868108.571,1855934.316,2012174.255,82749.96151,27578,23549.02352,4713.553983,27231.2634,22727.89553,55171.96151,-23338.83741,31833.12411,68.80580883,75.21338317,71.93145485,-4503.367866,-18835.46954,17.41840504,14.17224774,15.83491367,7.129582713,21.39287458,1.426329186,-0.603365624,0.822963563,0.703994288,0.587571293,-0.116422995,-0.486942628,2.562364666
801,2011,Oaxaca,20,20,3901419.113,1872337.815,2029081.298,82390.55746,27811,23757.6948,4025.858796,27409.91901,22893.46279,54579.55746,-24248.29222,30331.26524,68.99293459,75.37121838,72.10429254,-4516.456214,-19731.83601,16.66412824,13.5585407,15.14920749,7.128431782,21.11809961,1.398966783,-0.621524925,0.777441858,0.702562791,0.586798345,-0.115764446,-0.505760479,2.522043516
802,2012,Oaxaca,20,20,3930832.704,1885116.034,2045716.671,82054.81159,28049,23955.41778,3440.768378,27574.3583,23052.23873,54005.81159,-25036.76896,28969.04263,69.17819547,75.52699688,72.27517176,-4522.119561,-20514.6494,15.96429295,12.98912926,14.51299359,7.135638199,20.87466391,1.373902571,-0.636932956,0.736969615,0.701488981,0.586446701,-0.11504228,-0.521890677,2.484691021
803,2013,Oaxaca,20,20,3959042.489,1897198.799,2061843.689,81712.03691,28194,24141.39384,2942.628907,27723.01043,23204.69726,53518.03691,-25717.0781,27800.95881,69.48768571,75.69546442,72.51587045,-4518.313168,-21198.76493,15.31559021,12.46132113,13.92326383,7.121418899,20.63934326,1.351792436,-0.649578229,0.702214207,0.700245337,0.586118925,-0.114126413,-0.535451817,2.450142115
804,2014,Oaxaca,20,20,3986206.267,1908727.83,2077478.437,81341.42774,28345,24314.82374,2518.350281,27854.75088,23350.87318,52996.42774,-26300.35115,26696.07659,69.78919257,75.86136488,72.75122784,-4503.877692,-21796.47346,14.71481675,11.97250999,13.37710614,7.110771019,20.40572472,1.32949537,-0.659784,0.66971137,0.698778463,0.585791894,-0.112986569,-0.546797431,2.418232072
805,2015,Oaxaca,20,20,4012295.233,1919679.288,2092615.945,80940.12598,28500,24474.47531,2156.771,27970.39084,23491.78396,52440.12598,-26796.3112,25643.81478,70.08297436,76.0248113,72.9814314,-4478.606889,-22317.70431,14.15888779,11.52018598,12.87171617,7.103166229,20.17302349,1.306985726,-0.667854922,0.639130804,0.697116967,0.5854949,-0.111622067,-0.556232855,2.388798274
806,2016,Oaxaca,20,20,4037357.087,1930091.619,2107265.468,80515.51043,28663,24619.35226,1848.442565,28067.54654,23624.91565,51852.51043,-27213.54058,24638.96985,70.36928768,76.18591315,73.20666596,-4442.63089,-22770.90969,13.64484651,11.1019433,12.40440592,7.099446341,19.94262798,1.284318164,-0.67404344,0.610274725,0.695196039,0.585157942,-0.110038097,-0.564005343,2.361681652
807,2017,Oaxaca,20,20,4061497.02,1940050.046,2121446.975,80071.08958,28831,24748.61719,1585.363142,28146.19268,23749.93104,51240.08958,-27559.51569,23680.57389,70.64838639,76.34477587,73.42711297,-4396.261639,-23163.25405,13.1698705,10.71548554,11.97260954,7.098614096,19.71467397,1.261605987,-0.678555605,0.583050382,0.693000451,0.584758056,-0.108242395,-0.57031321,2.336727838
808,2018,Oaxaca,20,20,4084674.038,1949508.426,2135165.612,79599.20651,29084,24861.2506,1360.777867,28206.55213,23866.48352,50515.20651,-27840.54134,22674.66517,70.81844579,76.4892158,73.58467506,-4340.068608,-23500.47273,12.73127564,10.35862882,11.57388695,7.120274404,19.48728486,1.236701045,-0.681585387,0.555115658,0.690545974,0.584293466,-0.106252508,-0.575332879,2.313788061
809,2019,Oaxaca,20,20,4106821.602,1958407.173,2148414.429,79088.88351,29337,24956.42977,1168.906806,28249.25293,23974.16966,49751.88351,-28062.60623,21689.27728,70.98730994,76.63228383,73.74095574,-4275.083273,-23787.52296,12.32651794,10.02930324,11.2059254,7.143480493,19.25793014,1.211444965,-0.683316904,0.528128061,0.687861701,0.583764575,-0.104097126,-0.579219778,2.292719803
